ESTADO,ANO_IS,MES_IS,Obitos_Total,Obitos_M,Obitos_F,Casos_Total,Casos_M,Casos_F,Mortalidade,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, VELOCIDADE HORARIA (m/s)"
ES,2017,1,13,12,1,73,59,14,17.80821917808219,0.0422952832539577,987.32406678423,1772.9493118004432,26.290767632660646,19.32383021513448,68.42733363869803,2.5472918575908574
ES,2017,2,20,19,1,44,40,4,45.45454545454545,0.1321778837766354,985.7795219197368,1565.5287413333754,25.23131954348816,20.264682796702164,76.31664063363482,2.071840693927033
ES,2017,3,22,19,3,53,41,12,41.50943396226416,0.1106426778547076,986.1424594591934,1556.4549431503112,24.981863848352493,19.45927243853918,74.09074771466436,2.179263337812435
ES,2017,4,25,21,4,47,38,9,53.191489361702125,0.0583924351193734,987.939113360615,1286.3238889196712,23.672641006108503,18.97888063413184,77.24310391539208,2.0103351830005587
ES,2017,5,2,1,1,2,1,1,100.0,0.116584091117859,988.1133854048647,1067.0898183621491,21.551428327700243,17.48973257667467,79.78368829095236,1.752941319095214
ES,2017,6,0,0,0,0,0,0,0.0,0.0887674133853589,990.155300162363,1111.2654966943817,21.18420579609569,17.35553129520418,80.68653784571733,1.849078956178654
ES,2017,7,1,1,0,1,1,0,100.0,0.1196438229718564,997.4630795148572,1032.2675871170445,18.8743939918576,15.375722837454529,81.7985893902749,1.9881978172082608
ES,2017,8,0,0,0,1,0,1,0.0,0.0168153117248213,993.2534755583098,1246.923311566661,19.554265479213065,14.727438951920668,75.0893528153224,2.0140991250154867
ES,2017,9,0,0,0,0,0,0,0.0,0.0388596438605551,994.2979614373612,1363.4197351766104,20.7618447189628,15.954596775787602,75.26200178766744,2.3073684525189746
ES,2017,10,0,0,0,0,0,0,0.0,0.0650602500447342,986.4163479960396,1545.7060444822284,23.805197350128605,17.976677838444147,71.54660475719315,2.5835332178716173
ES,2017,11,0,0,0,0,0,0,0.0,0.2277620088880399,986.3488066469864,1161.7595994027567,23.124019242903312,18.957188273136392,78.06907695896261,2.388814615124729
ES,2017,12,0,0,0,1,1,0,0.0,0.3451461190497021,985.5221783024768,1278.2187275606375,24.39605267164484,20.54639408774217,79.58017908284742,2.076620466780021
ES,2018,1,0,0,0,3,3,0,0.0,0.1329165843965912,986.2843705651154,1596.5949425907063,25.93698596701746,20.2994438044558,72.28375533154615,2.335800323342253
ES,2018,2,0,0,0,0,0,0,0.0,0.2649102089794487,985.756025119602,1329.0934293424548,24.72758574869319,21.03938052263454,79.83834847669782,1.8984525844870848
ES,2018,3,0,0,0,0,0,0,0.0,0.226612953963683,987.845057187878,1464.6305269555178,25.43508646325775,21.70544149112968,79.94376568518345,1.7881516268784292
ES,2018,4,0,0,0,0,0,0,0.0,0.2628639595022365,991.4587685948412,1146.67766996594,22.96940617582243,20.16700522511937,83.46892635542396,1.6116073784813452
ES,2018,5,0,0,0,0,0,0,0.0,0.1585974178519131,991.9278066552034,1063.8009198185264,21.39142312148353,18.54893058396579,82.30428900539407,1.6741603230835014
ES,2018,6,0,0,0,0,0,0,0.0,0.0594517128616775,993.1420485332592,978.1848564596042,21.088797633491204,18.1390143581128,81.42199041423993,1.694313033289517
ES,2018,7,0,0,0,0,0,0,0.0,0.015675442794766,993.7712718144626,1144.5980279388325,20.45656994207505,16.461172551386355,78.564777202649,1.701162948913903
ES,2018,8,0,0,0,0,0,0,0.0,0.1063709010379145,993.157338431744,916.3523669753796,20.775782260287983,17.027533775906768,80.85516855008703,1.9628501203097977
ES,2018,9,0,0,0,0,0,0,0.0,0.0386975620008406,989.88270217169,1065.5517916493195,22.1414440741408,17.353514525364663,76.27198681707556,2.265935504724147
ES,2018,10,0,0,0,0,0,0,0.0,0.1432429214952332,991.0324037011476,1023.3377296756688,23.3813263841751,18.94117279697933,78.02847617344436,2.4536122697397613
ES,2018,11,0,0,0,0,0,0,0.0,0.3044833659044129,995.1865346225536,1144.5509881696632,23.94829629025309,20.09072314645692,80.7461666887259,2.228331360230169
ES,2018,12,0,0,0,0,0,0,0.0,0.2885793381267246,988.1425324713651,1254.320461685701,24.590554276479857,20.511912675035568,79.9763910940063,2.042265126883328
MG,2017,1,106,93,13,360,301,59,29.444444444444446,0.1585771339194384,929.8267666868109,1672.5044527835116,24.371853483824133,17.32243899163109,68.10560053327498,1.925108501501108
MG,2017,2,10,7,3,34,24,10,29.411764705882355,0.2138908331855822,930.4479998076376,1495.27309981143,23.46083504549832,18.01337301877074,73.76207817709144,1.9536241637480736
MG,2017,3,1,1,0,5,5,0,20.0,0.1424801184529102,930.67227002663,1555.0484821068076,23.53038360542548,17.18631933473821,70.5877854486001,1.7638554961503536
MG,2017,4,3,2,1,4,3,1,75.0,0.0700471164470182,932.6169608962816,1378.4542851240385,22.65174413265767,16.64469747788012,71.57884876918679,1.7914675375375866
MG,2017,5,1,1,0,1,1,0,100.0,0.0844391525751759,934.7274721977062,1185.30843069835,20.864893290183687,15.228392632646091,73.02618775341855,1.6703873254412147
MG,2017,6,1,1,0,1,1,0,100.0,0.0292216440224108,936.3288826770035,1228.726900006011,19.75195409564755,13.157315261882776,68.96609832928407,1.7666416734351127
MG,2017,7,0,0,0,0,0,0,0.0,0.0133502523696985,940.050398160999,1264.8509028842593,17.72839065372118,10.245534498923274,65.18495546642099,2.188186458956553
MG,2017,8,0,0,0,0,0,0,0.0,0.0067925971286102,934.8519347502344,1516.682555054608,20.176977882102555,9.895955066539411,56.82252392690346,2.0381154802095205
MG,2017,9,0,0,0,0,0,0,0.0,0.0284944889734347,935.268787051547,1684.5282735980372,21.671139432535867,10.046535128174993,52.29117192548782,2.558008825263505
MG,2017,10,0,0,0,0,0,0,0.0,0.0955859199536517,930.5390519691716,1650.2362282042309,24.375240299700224,13.308729308288031,55.718859156924026,2.4650947931456084
MG,2017,11,0,0,0,0,0,0,0.0,0.2344608075686582,930.3103469248762,1283.9333331776977,22.84430254357347,16.98301873529813,72.32147936043212,2.1138269204948474
MG,2017,12,10,9,1,12,11,1,83.33333333333334,0.3216195897384014,928.8378513709504,1308.48497681434,23.241141673633145,18.355675402669608,76.25974247199572,1.7458303151130905
MG,2018,1,105,100,5,301,259,42,34.88372093023256,0.2327105684119795,929.97619531549,1539.0613410693195,23.95699234212877,17.65212385540238,71.26075885924044,1.7720601103478943
MG,2018,2,53,48,5,186,159,27,28.49462365591398,0.3133888938194059,929.0303430305823,1387.8012818338102,23.06632481355775,18.595473354237008,77.70663581275276,1.6782186637789656
MG,2018,3,8,7,1,25,24,1,32.0,0.1968775278744871,929.499344408998,1485.781548018672,23.77745387827506,18.954935661160867,76.22501254930107,1.492782813724969
MG,2018,4,5,3,2,6,4,2,83.33333333333334,0.0699021146659451,932.3551117960764,1303.5907552468489,21.656445232488025,16.469475372870544,74.62953867167076,1.6604945151182746
MG,2018,5,0,0,0,0,0,0,0.0,0.0305815158258856,932.8375887070936,1241.610478769447,19.896724258450696,13.666974812211246,70.66664945146717,1.6284512930198645
MG,2018,6,0,0,0,0,0,0,0.0,0.0105703944287658,934.170349690069,1106.4731680164407,19.85592786212842,13.431809591600793,69.82059395607274,1.5433639255346985
MG,2018,7,0,0,0,0,0,0,0.0,0.00600949096097,935.2340487656606,1276.585901656492,19.22018096376682,10.95506255016007,62.91050845457848,1.6303085278737774
MG,2018,8,0,0,0,0,0,0,0.0,0.0462472478402115,934.5202429126972,1261.0124770132331,20.562693781335003,12.130797853514313,63.14301200003269,1.9318882001640152
MG,2018,9,0,0,0,0,0,0,0.0,0.063696998739475,931.3334361488328,1456.7849147114514,22.54606720299764,12.56616559739501,58.73159518047377,2.1067439551754226
MG,2018,10,0,0,0,0,0,0,0.0,0.185322919891424,929.8880989553556,1326.4494052992352,23.819061744292554,16.582231892227135,67.89147353658363,2.0996270400934645
MG,2018,11,0,0,0,0,0,0,0.0,0.3399274094021663,930.0719478500134,1240.6713563434075,22.48220150734868,17.773176008049113,76.72135157454682,2.069107837798269
MG,2018,12,0,0,0,0,0,0,0.0,0.321231259702786,929.9828336797516,1430.8016584337254,23.32966831028613,18.06729259168169,74.78962146979353,1.6897488976422346
RJ,2017,1,0,0,0,0,0,0,0.0,0.2595763706729768,983.9902102919708,1677.1987069523686,25.82387189058981,20.79855557427717,75.91094846750545,2.4442624186726247
RJ,2017,2,1,1,0,1,1,0,100.0,0.1331356436176162,984.3475786116212,1624.0663457169517,25.375685416981742,20.03448194187573,74.5840107271031,2.406439648104484
RJ,2017,3,1,1,0,9,9,0,11.11111111111111,0.2220797037143701,985.6110857226746,1475.3862904431326,24.08241302032552,19.603918301057742,78.0518496204023,2.094948033375544
RJ,2017,4,4,4,0,6,4,2,66.66666666666666,0.1498877397294545,985.9407441939748,1200.9874038866744,22.35277989305016,18.50159190405226,80.42399063377181,2.025422509828423
RJ,2017,5,2,2,0,2,2,0,100.0,0.093536074189251,988.1438525867734,1020.2959495136698,20.278763839652104,16.791416535253543,81.91215273477545,1.945955203593776
RJ,2017,6,0,0,0,0,0,0,0.0,0.0930968107711186,989.2471849841342,1028.1166704474028,19.715108914785908,16.044858456962938,81.25119452183625,1.7754599283943555
RJ,2017,7,0,0,0,1,1,0,0.0,0.061490915053716,995.5057003343728,1101.422346256014,18.09451252709608,14.005069207333086,79.06070950069478,1.9316380061853704
RJ,2017,8,0,0,0,0,0,0,0.0,0.0662834003052157,991.225112144804,1106.803622689128,18.925743414201005,14.199014217163931,76.66994030434701,2.089073540724075
RJ,2017,9,0,0,0,0,0,0,0.0,0.0252853032579003,982.9008734836024,1627.8743729390517,20.71586490392227,14.16641710828277,69.70185265991884,2.3654728284332114
RJ,2017,10,0,0,0,0,0,0,0.0,0.1020597193798343,977.4465280265588,1397.5771093041976,22.72743535103324,16.974268443897444,73.04940623582182,2.4078930336163613
RJ,2017,11,0,0,0,0,0,0,0.0,0.264844831071397,974.84120096788,1292.849874278658,22.052000328049903,17.231781490967943,76.6685045722053,2.378171686450489
RJ,2017,12,1,1,0,2,1,1,50.0,0.1892194055607329,971.870771479183,1326.8391965829896,23.36203916020217,19.3903641862344,80.22982765117968,2.096960480058873
RJ,2018,1,34,26,8,99,81,18,34.34343434343434,0.3621865193955738,975.6291245701732,1428.9674538549905,24.43189992899405,20.122737062585426,79.03885562120811,2.098319417610903
RJ,2018,2,39,31,8,115,86,29,33.91304347826087,0.2958178626772025,977.7234039021944,1321.9375177086697,23.85427738327105,20.110351410180417,80.92527755003248,1.8867793425133388
RJ,2018,3,12,10,2,32,27,5,37.5,0.2892648924197266,975.3169642435925,1438.7952399590188,24.51327254098077,20.61827830546637,80.31995311692525,1.770724673644802
RJ,2018,4,9,9,0,26,21,5,34.61538461538461,0.1385418937377615,978.64725407938,1294.430647468622,22.107237256299666,18.263383148922035,80.48833222953779,1.5832003455726371
RJ,2018,5,1,0,1,2,0,2,50.0,0.085994507327673,978.6000678200008,1129.8153300231036,20.00642165415417,16.126146169796513,80.32872413343622,1.636517948282114
RJ,2018,6,1,1,0,1,1,0,100.0,0.0656252422184137,981.146532493304,894.8325981329962,19.495776628184,15.832209179899827,81.05580542138017,1.7030676242329257
RJ,2018,7,0,0,0,0,0,0,0.0,0.0459402679313494,981.6079262506372,1109.3768065261218,19.275163597151025,14.722330806965504,77.68639196168992,1.823953091328151
RJ,2018,8,0,0,0,0,0,0,0.0,0.1106437647064314,982.2191800648396,1022.6207173841284,18.93669023085513,15.013985105516728,79.758989485448,1.960642603820664
RJ,2018,9,0,0,0,0,0,0,0.0,0.1110921863780408,977.2695856742416,1268.747578898837,20.90232571918215,16.244539874284946,76.50867758120525,2.184774433898378
RJ,2018,10,0,0,0,0,0,0,0.0,0.1673639808868415,976.6452391298848,1026.4457399718972,21.777341239658444,18.16222176607064,80.96549629544474,2.1917776137266265
RJ,2018,11,0,0,0,0,0,0,0.0,0.3031471451358995,984.8600712603004,1229.423201613203,22.883358092587905,18.86432379651892,79.92094912675363,2.222111414809052
RJ,2018,12,0,0,0,0,0,0,0.0,0.163266232250884,984.1878993663272,1527.0191962472477,24.35983471556537,19.614802461264272,77.30585927527589,1.8973328413330708
SP,2017,1,1,1,0,3,3,0,33.33333333333333,0.384013138134377,946.62503474966,1280.0909853382127,23.873882205430817,19.75745555081604,79.71080544268109,1.4859641798054586
SP,2017,2,0,0,0,0,0,0,0.0,0.1337638621752484,947.6935908456278,1698.0798879122565,25.14451914217376,19.068509073175715,71.86683346551688,1.5877553522511472
SP,2017,3,4,4,0,11,10,1,36.36363636363637,0.2229972068275218,948.12034875799,1455.0086229645638,23.603303296530832,18.3871031101502,74.99740666530178,1.7193117930292654
SP,2017,4,2,2,0,5,5,0,40.0,0.1725321343172559,949.9871307480282,1239.2879160499506,21.672486189012755,16.96257225051982,76.82532093032242,1.7586771367217446
SP,2017,5,1,1,0,1,1,0,100.0,0.1841491179025574,950.4114954097752,1059.6612619229006,20.221824964408547,16.057960026414218,78.94209772174001,1.4267912211242848
SP,2017,6,0,0,0,0,0,0,0.0,0.0878767657516724,952.4362385163622,1066.9415908989226,18.25529486102748,12.966560715671328,74.22234546029244,1.5271088351232838
SP,2017,7,0,0,0,0,0,0,0.0,0.0049068919565023,956.654415905667,1227.4557744542308,17.420002125159552,9.835536499704526,65.10303154010005,1.8928612415781847
SP,2017,8,0,0,0,0,0,0,0.0,0.0817214081308217,951.1991477687928,1193.1790299094405,19.43492482357094,11.510426399915485,65.92168139624819,1.969406575907972
SP,2017,9,0,0,0,1,1,0,0.0,0.0353808872417299,951.2771015965158,1648.7394707554608,23.11834601104015,10.586620929584152,52.02115701437491,2.002651798537169
SP,2017,10,1,1,0,1,1,0,100.0,0.1930431705063071,948.2546012315964,1340.09445913954,23.136448581061664,15.6530506596699,67.67187967214467,2.050239506743014
SP,2017,11,0,0,0,2,1,1,0.0,0.2763506082923566,948.289829327314,1458.5117786830351,22.52207496675444,16.685759219460788,72.87200452130979,2.002325926805508
SP,2017,12,27,24,3,52,42,10,51.92307692307693,0.2896837690397651,947.2252646146228,1384.6839239588228,23.832784027287275,18.829188529279072,75.99524624061223,1.6755659950490074
SP,2018,1,74,67,7,247,192,55,29.959514170040485,0.3450247017875757,947.5113521052052,1349.5693242050204,23.6935683827013,19.335654400766376,78.67259445831431,1.6011033395581509
SP,2018,2,38,33,5,106,91,15,35.84905660377358,0.2212053381253626,947.3345717246218,1456.8504979232553,23.250339496098327,18.3582091634414,76.27555798738628,1.650980701105715
SP,2018,3,47,42,5,107,90,17,43.925233644859816,0.2221725955149051,947.5572843532526,1444.1914028789968,24.66660701510912,19.92821562675857,77.11765919441238,1.374713265131991
SP,2018,4,12,10,2,24,19,5,50.0,0.0567518297096934,951.6592378394076,1395.5149613681035,22.24247059834583,16.376962656712724,72.3396675469383,1.4826291190041123
SP,2018,5,4,4,0,6,6,0,66.66666666666666,0.0358311696390171,952.590378666862,1207.6378640554385,19.87098620708825,13.46323787923449,70.1098309297517,1.4988061002947723
SP,2018,6,0,0,0,0,0,0,0.0,0.0331869737316234,953.348505031636,960.263037523482,19.41208990756862,13.320354596051642,71.62408739827055,1.442368285564985
SP,2018,7,0,0,0,0,0,0,0.0,0.0173087957634087,953.7984765254262,1207.1587025458068,19.3091319138414,10.490895556076246,62.05759440937358,1.482339585362337
SP,2018,8,0,0,0,0,0,0,0.0,0.0909565024235575,953.8287396661566,1173.1272178815846,18.391685163690607,11.964863288231962,70.8282714884651,1.895859920270716
SP,2018,9,0,0,0,0,0,0,0.0,0.1207485860790502,949.8240237825014,1317.616060059701,21.074709534381302,13.940856309943095,69.02020622023292,2.013085531285452
SP,2018,10,1,1,0,1,1,0,100.0,0.2293168893321266,948.4422337942816,1238.1153491495002,22.44005777563503,17.563357250840426,76.44505954376355,2.0697095805767765
SP,2018,11,0,0,0,0,0,0,0.0,0.2581368279486286,946.8894746066414,1277.8558277410166,22.70874273055134,17.875148207210604,76.26521635327059,2.293127236139881
SP,2018,12,3,3,0,5,4,1,60.0,0.1790781247192139,947.8736329599412,1600.6878568567183,24.506610169951827,18.23969883158817,71.21817796463881,1.7384125598795146
